iter	Passed	Remaining
0	158	157971
1	161	80472
2	166	55332
3	170	42369
4	173	34486
5	177	29474
6	181	25813
7	185	23020
8	189	20905
9	195	19351
10	198	17855
11	201	16592
12	205	15598
13	209	14762
14	212	13969
15	216	13302
16	221	12815
17	225	12309
18	229	11835
19	234	11469
20	238	11114
21	240	10695
22	242	10319
23	245	9971
24	248	9685
25	250	9376
26	251	9079
27	253	8802
28	254	8534
29	256	8286
30	257	8052
31	258	7833
32	260	7640
33	263	7482
34	264	7297
35	266	7123
36	267	6955
37	268	6799
38	269	6649
39	271	6505
40	272	6367
41	273	6237
42	275	6132
43	277	6027
44	278	5918
45	280	5817
46	282	5723
47	283	5624
48	284	5524
49	285	5429
50	286	5337
51	287	5249
52	289	5180
53	291	5107
54	292	5027
55	293	4949
56	294	4874
57	295	4801
58	296	4731
59	297	4663
60	298	4596
61	299	4533
62	300	4470
63	301	4409
64	303	4368
65	306	4334
66	307	4287
67	309	4236
68	310	4189
69	311	4142
70	313	4097
71	314	4051
72	315	4008
73	316	3965
74	320	3952
75	322	3916
76	323	3875
77	324	3835
78	325	3797
79	327	3760
80	328	3724
81	329	3691
82	330	3650
83	331	3615
84	333	3593
85	335	3565
86	336	3532
87	337	3500
88	339	3470
89	340	3440
90	341	3411
91	342	3382
92	344	3361
93	345	3332
94	346	3303
95	349	3291
96	351	3268
97	352	3242
98	353	3217
99	354	3191
100	355	3166
101	356	3142
102	358	3119
103	359	3095
104	360	3071
105	361	3048
106	363	3030
107	365	3014
108	366	2995
109	368	2977
110	369	2960
111	371	2942
112	372	2922
113	373	2902
114	374	2884
115	375	2864
116	377	2846
117	379	2836
118	380	2820
119	382	2801
120	383	2783
121	384	2764
122	385	2747
123	386	2729
124	387	2712
125	388	2696
126	389	2677
127	390	2661
128	392	2649
129	395	2645
130	396	2629
131	397	2615
132	398	2600
133	400	2585
134	401	2570
135	402	2555
136	403	2540
137	404	2525
138	405	2513
139	408	2510
140	410	2500
141	411	2485
142	412	2472
143	413	2459
144	414	2445
145	415	2432
146	417	2420
147	418	2407
148	419	2395
149	420	2382
150	422	2373
151	424	2368
152	425	2356
153	426	2345
154	427	2332
155	429	2321
156	430	2309
157	431	2297
158	432	2285
159	433	2275
160	434	2262
161	435	2251
162	437	2247
163	439	2239
164	440	2229
165	441	2218
166	442	2208
167	443	2198
168	444	2187
169	446	2178
170	447	2170
171	448	2160
172	449	2150
173	451	2144
174	453	2137
175	454	2129
176	456	2121
177	458	2115
178	459	2107
179	460	2098
180	461	2089
181	462	2080
182	463	2071
183	465	2062
184	467	2060
185	469	2052
186	470	2044
187	471	2035
188	472	2027
189	473	2018
190	474	2009
191	475	2002
192	476	1994
193	478	1986
194	479	1978
195	484	1986
196	485	1978
197	486	1971
198	487	1963
199	488	1955
200	490	1948
201	491	1941
202	492	1934
203	494	1928
204	497	1928
